Classes,Top 20 Words,Word probabilities
sanders,the,1807
sanders,to,1129
sanders,and,1116
sanders,of,1025
sanders,i,1014
sanders,that,943
sanders,a,803
sanders,in,786
sanders,is,747
sanders,we,668
sanders,have,468
sanders,you,399
sanders,not,358
sanders,what,352
sanders,this,348
sanders,people,321
sanders,are,320
sanders,for,306
sanders,it,302
sanders,on,270
clinton,the,2127
clinton,to,2113
clinton,and,1475
clinton,i,1447
clinton,that,1119
clinton,of,965
clinton,we,884
clinton,a,823
clinton,in,741
clinton,have,683
clinton,it,490
clinton,is,457
clinton,for,423
clinton,you,379
clinton,what,340
clinton,on,336
clinton,be,329
clinton,are,318
clinton,with,312
clinton,do,293
chafee,the,79
chafee,i,48
chafee,to,43
chafee,and,34
chafee,a,33
chafee,of,26
chafee,in,22
chafee,that,21
chafee,we,20
chafee,have,18
chafee,for,15
chafee,was,15
chafee,it,14
chafee,my,14
chafee,as,12
chafee,what,11
chafee,so,11
chafee,you,10
chafee,at,10
chafee,did,10
o'malley,the,464
o'malley,and,386
o'malley,to,381
o'malley,of,333
o'malley,we,298
o'malley,a,261
o'malley,in,256
o'malley,that,231
o'malley,i,201
o'malley,our,178
o'malley,is,124
o'malley,this,119
o'malley,on,96
o'malley,have,94
o'malley,you,85
o'malley,it,76
o'malley,for,76
o'malley,as,75
o'malley,but,72
o'malley,people,70
webb,the,137
webb,and,76
webb,of,72
webb,in,71
webb,i,68
webb,a,62
webb,to,58
webb,that,45
webb,we,30
webb,this,28
webb,have,23
webb,is,21
webb,for,20
webb,you,20
webb,our,18
webb,who,18
webb,are,18
webb,it,17
webb,with,16
webb,was,16
bush,the,704
bush,to,501
bush,and,383
bush,that,368
bush,a,340
bush,of,314
bush,we,289
bush,in,238
bush,is,228
bush,i,213
bush,this,171
bush,it,169
bush,have,143
bush,you,122
bush,be,109
bush,for,108
bush,not,107
bush,need,96
bush,on,89
bush,do,89
cruz,the,1200
cruz,and,852
cruz,to,744
cruz,of,490
cruz,a,444
cruz,that,439
cruz,you,401
cruz,is,392
cruz,i,354
cruz,in,346
cruz,we,282
cruz,on,264
cruz,it,225
cruz,this,184
cruz,for,182
cruz,with,157
cruz,he,155
cruz,are,155
cruz,will,153
cruz,not,144
trump,the,1104
trump,i,1072
trump,and,938
trump,to,926
trump,a,749
trump,of,633
trump,we,596
trump,that,574
trump,you,565
trump,have,545
trump,it,478
trump,in,380
trump,is,332
trump,they,321
trump,people,289
trump,going,278
trump,but,244
trump,with,243
trump,not,230
trump,very,222
christie,the,546
christie,and,395
christie,to,372
christie,that,225
christie,in,198
christie,a,188
christie,of,187
christie,is,184
christie,we,178
christie,i,163
christie,you,158
christie,this,146
christie,it,128
christie,what,90
christie,for,90
christie,about,87
christie,have,82
christie,not,80
christie,on,75
christie,do,71
rubio,the,1352
rubio,to,980
rubio,and,840
rubio,that,653
rubio,of,617
rubio,a,613
rubio,in,555
rubio,is,544
rubio,we,388
rubio,it,364
rubio,i,351
rubio,you,329
rubio,this,313
rubio,not,284
rubio,have,256
rubio,are,254
rubio,they,251
rubio,be,221
rubio,for,218
rubio,on,216
kasich,the,940
kasich,to,729
kasich,and,653
kasich,we,469
kasich,i,427
kasich,in,409
kasich,a,379
kasich,of,341
kasich,you,326
kasich,that,307
kasich,have,237
kasich,it,211
kasich,is,203
kasich,they,159
kasich,this,149
kasich,people,145
kasich,with,131
kasich,on,128
kasich,but,125
kasich,what,125
fiorina,the,262
fiorina,to,214
fiorina,and,178
fiorina,we,145
fiorina,of,142
fiorina,a,123
fiorina,is,111
fiorina,i,111
fiorina,in,93
fiorina,that,79
fiorina,it,75
fiorina,have,67
fiorina,this,65
fiorina,for,51
fiorina,you,51
fiorina,need,44
fiorina,about,43
fiorina,our,42
fiorina,government,41
fiorina,not,39
paul,the,321
paul,to,271
paul,and,168
paul,a,152
paul,i,149
paul,that,127
paul,we,125
paul,of,121
paul,is,116
paul,in,92
paul,you,82
paul,it,73
paul,think,69
paul,have,66
paul,not,63
paul,for,60
paul,be,56
paul,but,50
paul,on,45
paul,want,40
carson,the,499
carson,and,428
carson,to,421
carson,that,303
carson,of,279
carson,we,250
carson,you,227
carson,a,221
carson,i,208
carson,is,207
carson,have,149
carson,in,146
carson,people,121
carson,they,118
carson,it,113
carson,know,111
carson,be,98
carson,our,93
carson,do,89
carson,not,88
huckabee,the,179
huckabee,to,128
huckabee,and,128
huckabee,that,101
huckabee,a,93
huckabee,of,92
huckabee,we,86
huckabee,is,56
huckabee,i,54
huckabee,this,50
huckabee,in,47
huckabee,it,42
huckabee,you,38
huckabee,on,36
huckabee,not,34
huckabee,they,31
huckabee,have,31
huckabee,be,31
huckabee,people,29
huckabee,would,29
walker,the,132
walker,to,87
walker,and,87
walker,in,66
walker,i,53
walker,we,53
walker,that,52
walker,a,50
walker,of,41
walker,this,32
walker,on,30
walker,about,30
walker,is,30
walker,you,27
walker,it,24
walker,it's,22
walker,need,19
walker,for,19
walker,that's,19
walker,do,17
perry,to,4
perry,a,3
perry,i,2
perry,we,2
perry,but,2
perry,for,2
perry,is,2
perry,that,2
perry,no,2
perry,going,2
perry,video,2
perry,clip,2
perry,will,1
perry,tell,1
perry,you,1
perry,one,1
perry,thing,1
perry,would,1
perry,whole,1
perry,lot,1
